調査年 コード,調査年,地域 コード,地域,#E09211_小学校長期欠席児童比率（年度間30日以上）（児童千人当たり）【‐】,#L02411_食料費割合（二人以上の世帯）【％】
2022100000,2022年度,1000,北海道,***,26.3
2022100000,2022年度,2000,青森県,***,29.5
2022100000,2022年度,3000,岩手県,***,27
2022100000,2022年度,4000,宮城県,***,27.3
2022100000,2022年度,5000,秋田県,***,26.7
2022100000,2022年度,6000,山形県,***,28
2022100000,2022年度,7000,福島県,***,27.1
2022100000,2022年度,8000,茨城県,***,24
2022100000,2022年度,9000,栃木県,***,27.2
2022100000,2022年度,10000,群馬県,***,25
2022100000,2022年度,11000,埼玉県,***,27.1
2022100000,2022年度,12000,千葉県,***,27.8
2022100000,2022年度,13000,東京都,***,27.4
2022100000,2022年度,14000,神奈川県,***,28.2
2022100000,2022年度,15000,新潟県,***,27.3
2022100000,2022年度,16000,富山県,***,26.4
2022100000,2022年度,17000,石川県,***,27.3
2022100000,2022年度,18000,福井県,***,27.4
2022100000,2022年度,19000,山梨県,***,26.2
2022100000,2022年度,20000,長野県,***,25.3
2022100000,2022年度,21000,岐阜県,***,24.7
2022100000,2022年度,22000,静岡県,***,27.7
2022100000,2022年度,23000,愛知県,***,25
2022100000,2022年度,24000,三重県,***,26
2022100000,2022年度,25000,滋賀県,***,26.5
2022100000,2022年度,26000,京都府,***,28
2022100000,2022年度,27000,大阪府,***,30.5
2022100000,2022年度,28000,兵庫県,***,27.4
2022100000,2022年度,29000,奈良県,***,27
2022100000,2022年度,30000,和歌山県,***,26
2022100000,2022年度,31000,鳥取県,***,25.5
2022100000,2022年度,32000,島根県,***,26
2022100000,2022年度,33000,岡山県,***,24.3
2022100000,2022年度,34000,広島県,***,26.8
2022100000,2022年度,35000,山口県,***,23.3
2022100000,2022年度,36000,徳島県,***,25
2022100000,2022年度,37000,香川県,***,25.1
2022100000,2022年度,38000,愛媛県,***,27.7
2022100000,2022年度,39000,高知県,***,25.7
2022100000,2022年度,40000,福岡県,***,26.5
2022100000,2022年度,41000,佐賀県,***,25.6
2022100000,2022年度,42000,長崎県,***,27.1
2022100000,2022年度,43000,熊本県,***,24.9
2022100000,2022年度,44000,大分県,***,25.2
2022100000,2022年度,45000,宮崎県,***,25.8
2022100000,2022年度,46000,鹿児島県,***,25.1
2022100000,2022年度,47000,沖縄県,***,27.1
2021100000,2021年度,1000,北海道,30.16,26.6
2021100000,2021年度,2000,青森県,15.02,28.4
2021100000,2021年度,3000,岩手県,12.77,27
2021100000,2021年度,4000,宮城県,27,26.6
2021100000,2021年度,5000,秋田県,15.77,29.2
2021100000,2021年度,6000,山形県,11.13,24.7
2021100000,2021年度,7000,福島県,17.24,26.1
2021100000,2021年度,8000,茨城県,34.08,24.7
2021100000,2021年度,9000,栃木県,23.6,26.5
2021100000,2021年度,10000,群馬県,24.46,26.3
2021100000,2021年度,11000,埼玉県,36.3,27.6
2021100000,2021年度,12000,千葉県,27.92,27.8
2021100000,2021年度,13000,東京都,36.31,28.2
2021100000,2021年度,14000,神奈川県,34.59,28.8
2021100000,2021年度,15000,新潟県,14.43,25.5
2021100000,2021年度,16000,富山県,20.62,25.6
2021100000,2021年度,17000,石川県,20.65,27.3
2021100000,2021年度,18000,福井県,15.09,28.7
2021100000,2021年度,19000,山梨県,25.93,27
2021100000,2021年度,20000,長野県,31.61,24.5
2021100000,2021年度,21000,岐阜県,34.4,25.4
2021100000,2021年度,22000,静岡県,23.02,26
2021100000,2021年度,23000,愛知県,23.82,28.6
2021100000,2021年度,24000,三重県,25.79,24.8
2021100000,2021年度,25000,滋賀県,30.24,27.3
2021100000,2021年度,26000,京都府,26.64,28.6
2021100000,2021年度,27000,大阪府,41.08,31.4
2021100000,2021年度,28000,兵庫県,27.94,27.1
2021100000,2021年度,29000,奈良県,35.99,26.8
2021100000,2021年度,30000,和歌山県,20.72,28.8
2021100000,2021年度,31000,鳥取県,22.16,25.1
2021100000,2021年度,32000,島根県,22.07,26.4
2021100000,2021年度,33000,岡山県,30.74,25.7
2021100000,2021年度,34000,広島県,29.21,26.4
2021100000,2021年度,35000,山口県,20.71,24.5
2021100000,2021年度,36000,徳島県,15.51,25.9
2021100000,2021年度,37000,香川県,20.94,25.9
2021100000,2021年度,38000,愛媛県,19.64,27.8
2021100000,2021年度,39000,高知県,25.91,26.7
2021100000,2021年度,40000,福岡県,30.71,26.4
2021100000,2021年度,41000,佐賀県,18.88,25.1
2021100000,2021年度,42000,長崎県,17.65,28.4
2021100000,2021年度,43000,熊本県,24.25,24.7
2021100000,2021年度,44000,大分県,21.11,24.8
2021100000,2021年度,45000,宮崎県,16.5,27.8
2021100000,2021年度,46000,鹿児島県,20.33,23.6
2021100000,2021年度,47000,沖縄県,46.47,29.3
2020100000,2020年度,1000,北海道,20.31,25.7
2020100000,2020年度,2000,青森県,9.82,29.9
2020100000,2020年度,3000,岩手県,9.19,27.3
2020100000,2020年度,4000,宮城県,18.09,28.8
2020100000,2020年度,5000,秋田県,10.38,27.5
2020100000,2020年度,6000,山形県,9.26,26.3
2020100000,2020年度,7000,福島県,12.97,27.1
2020100000,2020年度,8000,茨城県,19.1,26
2020100000,2020年度,9000,栃木県,17,27.1
2020100000,2020年度,10000,群馬県,13.94,26.7
2020100000,2020年度,11000,埼玉県,15.9,25.8
2020100000,2020年度,12000,千葉県,16.69,27.3
2020100000,2020年度,13000,東京都,21.57,28.3
2020100000,2020年度,14000,神奈川県,20.89,28.4
2020100000,2020年度,15000,新潟県,11.27,27.6
2020100000,2020年度,16000,富山県,15.53,26.5
2020100000,2020年度,17000,石川県,13,26.4
2020100000,2020年度,18000,福井県,8.91,29.8
2020100000,2020年度,19000,山梨県,17.83,26.4
2020100000,2020年度,20000,長野県,20.77,26.7
2020100000,2020年度,21000,岐阜県,18.94,25.2
2020100000,2020年度,22000,静岡県,15.37,28.2
2020100000,2020年度,23000,愛知県,16.71,27.8
2020100000,2020年度,24000,三重県,17.3,25.7
2020100000,2020年度,25000,滋賀県,19.75,26.7
2020100000,2020年度,26000,京都府,19.69,31.1
2020100000,2020年度,27000,大阪府,22.5,31.2
2020100000,2020年度,28000,兵庫県,16.28,29.1
2020100000,2020年度,29000,奈良県,20.54,27.1
2020100000,2020年度,30000,和歌山県,14.7,26.9
2020100000,2020年度,31000,鳥取県,18.49,25.7
2020100000,2020年度,32000,島根県,17.04,24.9
2020100000,2020年度,33000,岡山県,22.18,27.4
2020100000,2020年度,34000,広島県,17.49,27.5
2020100000,2020年度,35000,山口県,15.49,25.1
2020100000,2020年度,36000,徳島県,12.6,25.8
2020100000,2020年度,37000,香川県,12.68,26.2
2020100000,2020年度,38000,愛媛県,15.68,28.2
2020100000,2020年度,39000,高知県,19.58,27.3
2020100000,2020年度,40000,福岡県,22.48,23.8
2020100000,2020年度,41000,佐賀県,12.67,25.5
2020100000,2020年度,42000,長崎県,11.27,26.6
2020100000,2020年度,43000,熊本県,14.71,24.6
2020100000,2020年度,44000,大分県,15.65,26.2
2020100000,2020年度,45000,宮崎県,11.71,27.2
2020100000,2020年度,46000,鹿児島県,14.95,26.5
2020100000,2020年度,47000,沖縄県,30.33,30.6
2019100000,2019年度,1000,北海道,12.72,24.7
2019100000,2019年度,2000,青森県,9.05,27.3
2019100000,2019年度,3000,岩手県,7.32,25.7
2019100000,2019年度,4000,宮城県,15.71,28.2
2019100000,2019年度,5000,秋田県,8.94,26.4
2019100000,2019年度,6000,山形県,7.21,25.3
2019100000,2019年度,7000,福島県,10.74,26.2
2019100000,2019年度,8000,茨城県,15.49,24.8
2019100000,2019年度,9000,栃木県,13.43,25.5
2019100000,2019年度,10000,群馬県,10.6,27.1
2019100000,2019年度,11000,埼玉県,12.62,25.3
2019100000,2019年度,12000,千葉県,15.17,25.4
2019100000,2019年度,13000,東京都,14.88,26.8
2019100000,2019年度,14000,神奈川県,15.7,27
2019100000,2019年度,15000,新潟県,8.35,25.7
2019100000,2019年度,16000,富山県,12,25.5
2019100000,2019年度,17000,石川県,11,24.5
2019100000,2019年度,18000,福井県,8.6,26.7
2019100000,2019年度,19000,山梨県,16.04,24.2
2019100000,2019年度,20000,長野県,17.05,23.7
2019100000,2019年度,21000,岐阜県,14.28,25.6
2019100000,2019年度,22000,静岡県,14.31,27.6
2019100000,2019年度,23000,愛知県,12.92,26.4
2019100000,2019年度,24000,三重県,12.44,23.8
2019100000,2019年度,25000,滋賀県,15.75,26.2
2019100000,2019年度,26000,京都府,14.94,28.7
2019100000,2019年度,27000,大阪府,17.78,28.4
2019100000,2019年度,28000,兵庫県,13.95,27.6
2019100000,2019年度,29000,奈良県,18.52,24.3
2019100000,2019年度,30000,和歌山県,12.57,26.9
2019100000,2019年度,31000,鳥取県,16.56,25.8
2019100000,2019年度,32000,島根県,16.94,24.2
2019100000,2019年度,33000,岡山県,18.68,24.1
2019100000,2019年度,34000,広島県,14,24.9
2019100000,2019年度,35000,山口県,12.04,24
2019100000,2019年度,36000,徳島県,11.32,24.8
2019100000,2019年度,37000,香川県,12.11,22.3
2019100000,2019年度,38000,愛媛県,12.84,25.8
2019100000,2019年度,39000,高知県,16.47,24.5
2019100000,2019年度,40000,福岡県,17.5,24.7
2019100000,2019年度,41000,佐賀県,10.25,24
2019100000,2019年度,42000,長崎県,8.77,25.3
2019100000,2019年度,43000,熊本県,12,23.8
2019100000,2019年度,44000,大分県,13.44,25.2
2019100000,2019年度,45000,宮崎県,7.65,24.9
2019100000,2019年度,46000,鹿児島県,10.11,25.1
2019100000,2019年度,47000,沖縄県,22.29,29.3
2018100000,2018年度,1000,北海道,11.14,24.6
2018100000,2018年度,2000,青森県,7.84,27.2
2018100000,2018年度,3000,岩手県,6.62,26.2
2018100000,2018年度,4000,宮城県,14.54,26.4
2018100000,2018年度,5000,秋田県,8.06,25.7
2018100000,2018年度,6000,山形県,6.23,24.1
2018100000,2018年度,7000,福島県,8.88,24.6
2018100000,2018年度,8000,茨城県,12.71,24.5
2018100000,2018年度,9000,栃木県,12.32,24.3
2018100000,2018年度,10000,群馬県,9.36,26.5
2018100000,2018年度,11000,埼玉県,11.69,25.1
2018100000,2018年度,12000,千葉県,14.77,26.5
2018100000,2018年度,13000,東京都,13.15,26.8
2018100000,2018年度,14000,神奈川県,14.8,26.7
2018100000,2018年度,15000,新潟県,7.92,25.7
2018100000,2018年度,16000,富山県,10.18,25.3
2018100000,2018年度,17000,石川県,8.77,23.2
2018100000,2018年度,18000,福井県,7.87,26.2
2018100000,2018年度,19000,山梨県,15.57,26
2018100000,2018年度,20000,長野県,15.23,24.9
2018100000,2018年度,21000,岐阜県,13.59,23.9
2018100000,2018年度,22000,静岡県,13.26,26.1
2018100000,2018年度,23000,愛知県,12.53,26.5
2018100000,2018年度,24000,三重県,11.36,26.6
2018100000,2018年度,25000,滋賀県,14.33,28.4
2018100000,2018年度,26000,京都府,13.74,27.8
2018100000,2018年度,27000,大阪府,17.96,29.9
2018100000,2018年度,28000,兵庫県,12.43,27.2
2018100000,2018年度,29000,奈良県,18.71,25.6
2018100000,2018年度,30000,和歌山県,11.91,29.2
2018100000,2018年度,31000,鳥取県,15.1,26.6
2018100000,2018年度,32000,島根県,13.42,23.7
2018100000,2018年度,33000,岡山県,18.67,24.1
2018100000,2018年度,34000,広島県,13.25,26.5
2018100000,2018年度,35000,山口県,11.41,24
2018100000,2018年度,36000,徳島県,9.26,24.3
2018100000,2018年度,37000,香川県,11.31,22.2
2018100000,2018年度,38000,愛媛県,10.25,25.7
2018100000,2018年度,39000,高知県,15.61,24.8
2018100000,2018年度,40000,福岡県,16.34,23.1
2018100000,2018年度,41000,佐賀県,9.49,24.3
2018100000,2018年度,42000,長崎県,8.46,25.8
2018100000,2018年度,43000,熊本県,9.77,24
2018100000,2018年度,44000,大分県,11.4,23.3
2018100000,2018年度,45000,宮崎県,5.68,25.6
2018100000,2018年度,46000,鹿児島県,10.47,24.2
2018100000,2018年度,47000,沖縄県,20.2,27.2
2017100000,2017年度,1000,北海道,8.67,24.3
2017100000,2017年度,2000,青森県,6.08,28.1
2017100000,2017年度,3000,岩手県,4.86,26
2017100000,2017年度,4000,宮城県,12.5,25.5
2017100000,2017年度,5000,秋田県,6.53,26.8
2017100000,2017年度,6000,山形県,5.66,25.1
2017100000,2017年度,7000,福島県,7.18,24.2
2017100000,2017年度,8000,茨城県,10.59,22.9
2017100000,2017年度,9000,栃木県,10.42,25.4
2017100000,2017年度,10000,群馬県,7.81,24.8
2017100000,2017年度,11000,埼玉県,9.69,25.9
2017100000,2017年度,12000,千葉県,12.92,26.9
2017100000,2017年度,13000,東京都,11.6,25.9
2017100000,2017年度,14000,神奈川県,12.58,25.7
2017100000,2017年度,15000,新潟県,6.73,24.9
2017100000,2017年度,16000,富山県,9.78,23.9
2017100000,2017年度,17000,石川県,8.4,23.8
2017100000,2017年度,18000,福井県,6.35,28.5
2017100000,2017年度,19000,山梨県,13.32,24.9
2017100000,2017年度,20000,長野県,12.6,24
2017100000,2017年度,21000,岐阜県,11.09,23.9
2017100000,2017年度,22000,静岡県,11.33,27
2017100000,2017年度,23000,愛知県,10.64,26.3
2017100000,2017年度,24000,三重県,10.23,25.2
2017100000,2017年度,25000,滋賀県,12.18,27.6
2017100000,2017年度,26000,京都府,12.44,30.2
2017100000,2017年度,27000,大阪府,16.28,28.6
2017100000,2017年度,28000,兵庫県,11.38,30.3
2017100000,2017年度,29000,奈良県,14.72,24.4
2017100000,2017年度,30000,和歌山県,10.59,28.3
2017100000,2017年度,31000,鳥取県,11.35,26.5
2017100000,2017年度,32000,島根県,11.86,25.1
2017100000,2017年度,33000,岡山県,16.11,24.5
2017100000,2017年度,34000,広島県,11.91,25.6
2017100000,2017年度,35000,山口県,10.25,22.7
2017100000,2017年度,36000,徳島県,8.55,24.6
2017100000,2017年度,37000,香川県,9.56,22.3
2017100000,2017年度,38000,愛媛県,8.8,26.3
2017100000,2017年度,39000,高知県,12.79,25.4
2017100000,2017年度,40000,福岡県,14.16,23.3
2017100000,2017年度,41000,佐賀県,7.9,22.7
2017100000,2017年度,42000,長崎県,7.35,26.5
2017100000,2017年度,43000,熊本県,7.17,23.8
2017100000,2017年度,44000,大分県,9.93,23.4
2017100000,2017年度,45000,宮崎県,5.22,25.2
2017100000,2017年度,46000,鹿児島県,8.36,23.9
2017100000,2017年度,47000,沖縄県,17.7,26.9
2016100000,2016年度,1000,北海道,8.62,24.2
2016100000,2016年度,2000,青森県,5.36,29.2
2016100000,2016年度,3000,岩手県,4.17,24.6
2016100000,2016年度,4000,宮城県,10.46,26.4
2016100000,2016年度,5000,秋田県,5.7,25.6
2016100000,2016年度,6000,山形県,4.79,23
2016100000,2016年度,7000,福島県,6.78,24.6
2016100000,2016年度,8000,茨城県,10.32,22.7
2016100000,2016年度,9000,栃木県,9.09,25.6
2016100000,2016年度,10000,群馬県,6.74,26.2
2016100000,2016年度,11000,埼玉県,8.9,24.5
2016100000,2016年度,12000,千葉県,12.52,25.6
2016100000,2016年度,13000,東京都,10.96,26.5
2016100000,2016年度,14000,神奈川県,11.84,25.9
2016100000,2016年度,15000,新潟県,5.89,26.5
2016100000,2016年度,16000,富山県,7.7,24.4
2016100000,2016年度,17000,石川県,6.58,24.8
2016100000,2016年度,18000,福井県,6.42,26.3
2016100000,2016年度,19000,山梨県,12.77,24
2016100000,2016年度,20000,長野県,11.81,23.8
2016100000,2016年度,21000,岐阜県,10.53,25
2016100000,2016年度,22000,静岡県,10.03,25.7
2016100000,2016年度,23000,愛知県,9.54,26.1
2016100000,2016年度,24000,三重県,10.12,24
2016100000,2016年度,25000,滋賀県,12.07,26.1
2016100000,2016年度,26000,京都府,11.1,28.9
2016100000,2016年度,27000,大阪府,14.5,30.6
2016100000,2016年度,28000,兵庫県,10.56,28.4
2016100000,2016年度,29000,奈良県,13.86,24.6
2016100000,2016年度,30000,和歌山県,11.23,27
2016100000,2016年度,31000,鳥取県,10.47,27.1
2016100000,2016年度,32000,島根県,10.1,25.3
2016100000,2016年度,33000,岡山県,16.14,24.1
2016100000,2016年度,34000,広島県,10.26,25.5
2016100000,2016年度,35000,山口県,8.87,22.9
2016100000,2016年度,36000,徳島県,8.62,22.7
2016100000,2016年度,37000,香川県,8.6,23.6
2016100000,2016年度,38000,愛媛県,8.16,24.3
2016100000,2016年度,39000,高知県,12.3,22.4
2016100000,2016年度,40000,福岡県,12.97,23.7
2016100000,2016年度,41000,佐賀県,7.76,25.4
2016100000,2016年度,42000,長崎県,6.27,27.1
2016100000,2016年度,43000,熊本県,6.08,25.2
2016100000,2016年度,44000,大分県,7.93,24.9
2016100000,2016年度,45000,宮崎県,5.44,23
2016100000,2016年度,46000,鹿児島県,6.89,22.9
2016100000,2016年度,47000,沖縄県,16.57,25.7
2015100000,2015年度,1000,北海道,9.05,24.2
2015100000,2015年度,2000,青森県,4.74,27.3
2015100000,2015年度,3000,岩手県,4.44,24.7
2015100000,2015年度,4000,宮城県,8.66,26.4
2015100000,2015年度,5000,秋田県,5.32,25.6
2015100000,2015年度,6000,山形県,3.75,23.5
2015100000,2015年度,7000,福島県,7.24,23
2015100000,2015年度,8000,茨城県,9.86,22.7
2015100000,2015年度,9000,栃木県,9.05,23.6
2015100000,2015年度,10000,群馬県,6.58,27.7
2015100000,2015年度,11000,埼玉県,8.02,25.5
2015100000,2015年度,12000,千葉県,12.05,24.7
2015100000,2015年度,13000,東京都,11.11,25.6
2015100000,2015年度,14000,神奈川県,11.15,26.5
2015100000,2015年度,15000,新潟県,6.02,26.3
2015100000,2015年度,16000,富山県,7.47,24.3
2015100000,2015年度,17000,石川県,6.86,24.4
2015100000,2015年度,18000,福井県,5.52,25.9
2015100000,2015年度,19000,山梨県,10.01,25.1
2015100000,2015年度,20000,長野県,10.64,22.9
2015100000,2015年度,21000,岐阜県,9.73,24.3
2015100000,2015年度,22000,静岡県,8.52,25
2015100000,2015年度,23000,愛知県,8.74,26.8
2015100000,2015年度,24000,三重県,8.81,23
2015100000,2015年度,25000,滋賀県,11.22,24.8
2015100000,2015年度,26000,京都府,10.35,28.5
2015100000,2015年度,27000,大阪府,13.72,28.2
2015100000,2015年度,28000,兵庫県,9.83,28
2015100000,2015年度,29000,奈良県,11.97,23.7
2015100000,2015年度,30000,和歌山県,10.46,23.9
2015100000,2015年度,31000,鳥取県,9.76,24
2015100000,2015年度,32000,島根県,8.27,23.3
2015100000,2015年度,33000,岡山県,14.65,26.2
2015100000,2015年度,34000,広島県,9.27,26.5
2015100000,2015年度,35000,山口県,7.74,23.5
2015100000,2015年度,36000,徳島県,8.46,24
2015100000,2015年度,37000,香川県,7.75,22.3
2015100000,2015年度,38000,愛媛県,7.83,24.5
2015100000,2015年度,39000,高知県,12.27,23
2015100000,2015年度,40000,福岡県,10.42,24
2015100000,2015年度,41000,佐賀県,8.33,25
2015100000,2015年度,42000,長崎県,5.27,28.1
2015100000,2015年度,43000,熊本県,4.72,23.4
2015100000,2015年度,44000,大分県,8.58,23.1
2015100000,2015年度,45000,宮崎県,4.98,24.9
2015100000,2015年度,46000,鹿児島県,7.47,23.2
2015100000,2015年度,47000,沖縄県,14.55,26.1
2014100000,2014年度,1000,北海道,9.01,23
2014100000,2014年度,2000,青森県,4.55,25.9
2014100000,2014年度,3000,岩手県,3.72,25.2
2014100000,2014年度,4000,宮城県,9,24.9
2014100000,2014年度,5000,秋田県,5.47,23.9
2014100000,2014年度,6000,山形県,4.41,23.2
2014100000,2014年度,7000,福島県,7.26,23.1
2014100000,2014年度,8000,茨城県,8.86,23.1
2014100000,2014年度,9000,栃木県,7.9,22.6
2014100000,2014年度,10000,群馬県,6.32,22.8
2014100000,2014年度,11000,埼玉県,6.92,23.8
2014100000,2014年度,12000,千葉県,10.39,25
2014100000,2014年度,13000,東京都,8.24,25.3
2014100000,2014年度,14000,神奈川県,10.32,25.2
2014100000,2014年度,15000,新潟県,5.03,24.5
2014100000,2014年度,16000,富山県,6.77,22.1
2014100000,2014年度,17000,石川県,6.15,23.2
2014100000,2014年度,18000,福井県,5.76,24.1
2014100000,2014年度,19000,山梨県,8.13,24.1
2014100000,2014年度,20000,長野県,10.52,22.5
2014100000,2014年度,21000,岐阜県,8.45,23.2
2014100000,2014年度,22000,静岡県,7.27,25.4
2014100000,2014年度,23000,愛知県,8.19,25.6
2014100000,2014年度,24000,三重県,8.73,23
2014100000,2014年度,25000,滋賀県,11.37,25.1
2014100000,2014年度,26000,京都府,8.99,27.4
2014100000,2014年度,27000,大阪府,12.73,26.8
2014100000,2014年度,28000,兵庫県,9.37,26.9
2014100000,2014年度,29000,奈良県,11.17,22.3
2014100000,2014年度,30000,和歌山県,9.89,24.8
2014100000,2014年度,31000,鳥取県,8.39,23.8
2014100000,2014年度,32000,島根県,8.06,22.9
2014100000,2014年度,33000,岡山県,13.4,23.6
2014100000,2014年度,34000,広島県,8.81,24.2
2014100000,2014年度,35000,山口県,6.93,22.6
2014100000,2014年度,36000,徳島県,8.23,21.2
2014100000,2014年度,37000,香川県,7.32,21.3
2014100000,2014年度,38000,愛媛県,7.33,24.2
2014100000,2014年度,39000,高知県,11.1,22.1
2014100000,2014年度,40000,福岡県,10.47,23.3
2014100000,2014年度,41000,佐賀県,7.74,23.1
2014100000,2014年度,42000,長崎県,5.34,24.5
2014100000,2014年度,43000,熊本県,4.23,22.8
2014100000,2014年度,44000,大分県,8.22,23.1
2014100000,2014年度,45000,宮崎県,4.84,24.2
2014100000,2014年度,46000,鹿児島県,6.5,21.5
2014100000,2014年度,47000,沖縄県,13.82,25.1
2013100000,2013年度,1000,北海道,8.72,22.9
2013100000,2013年度,2000,青森県,4.05,25.3
2013100000,2013年度,3000,岩手県,4.03,23.6
2013100000,2013年度,4000,宮城県,9.02,24.3
2013100000,2013年度,5000,秋田県,4.64,23.7
2013100000,2013年度,6000,山形県,4.21,22.3
2013100000,2013年度,7000,福島県,6.94,23.2
2013100000,2013年度,8000,茨城県,8.65,22.3
2013100000,2013年度,9000,栃木県,7.79,21.9
2013100000,2013年度,10000,群馬県,6.04,22.8
2013100000,2013年度,11000,埼玉県,6.91,24
2013100000,2013年度,12000,千葉県,9.86,25.9
2013100000,2013年度,13000,東京都,7.61,24.4
2013100000,2013年度,14000,神奈川県,9.7,24.9
2013100000,2013年度,15000,新潟県,4.81,25.1
2013100000,2013年度,16000,富山県,6,22.4
2013100000,2013年度,17000,石川県,5.5,22
2013100000,2013年度,18000,福井県,6.12,22.9
2013100000,2013年度,19000,山梨県,8.39,24.8
2013100000,2013年度,20000,長野県,9.72,22.7
2013100000,2013年度,21000,岐阜県,7.85,23.5
2013100000,2013年度,22000,静岡県,7.15,23.8
2013100000,2013年度,23000,愛知県,7.54,24.4
2013100000,2013年度,24000,三重県,8.51,22.9
2013100000,2013年度,25000,滋賀県,10.89,24.6
2013100000,2013年度,26000,京都府,8.07,25.7
2013100000,2013年度,27000,大阪府,12.11,26.5
2013100000,2013年度,28000,兵庫県,8.95,25.8
2013100000,2013年度,29000,奈良県,10.24,23.2
2013100000,2013年度,30000,和歌山県,9.44,24.9
2013100000,2013年度,31000,鳥取県,7.65,24.8
2013100000,2013年度,32000,島根県,7.08,22.1
2013100000,2013年度,33000,岡山県,12.8,21.9
2013100000,2013年度,34000,広島県,8.66,23.6
2013100000,2013年度,35000,山口県,6.71,22.1
2013100000,2013年度,36000,徳島県,6.89,22.1
2013100000,2013年度,37000,香川県,6.69,20.4
2013100000,2013年度,38000,愛媛県,6.97,22.9
2013100000,2013年度,39000,高知県,10.62,23.2
2013100000,2013年度,40000,福岡県,9.62,23.3
2013100000,2013年度,41000,佐賀県,7.4,23.2
2013100000,2013年度,42000,長崎県,5.13,23
2013100000,2013年度,43000,熊本県,3.9,22.3
2013100000,2013年度,44000,大分県,6.65,20.6
2013100000,2013年度,45000,宮崎県,5.16,22.6
2013100000,2013年度,46000,鹿児島県,5.82,21.2
2013100000,2013年度,47000,沖縄県,14.03,23.9
2012100000,2012年度,1000,北海道,7.92,22.5
2012100000,2012年度,2000,青森県,4.14,24.6
2012100000,2012年度,3000,岩手県,3.44,24.7
2012100000,2012年度,4000,宮城県,9.26,23.7
2012100000,2012年度,5000,秋田県,5.09,22.9
2012100000,2012年度,6000,山形県,4.07,22.2
2012100000,2012年度,7000,福島県,7.66,22.7
2012100000,2012年度,8000,茨城県,9.13,21.9
2012100000,2012年度,9000,栃木県,7.64,20.4
2012100000,2012年度,10000,群馬県,6.4,23.9
2012100000,2012年度,11000,埼玉県,6.63,23
2012100000,2012年度,12000,千葉県,9.3,26.2
2012100000,2012年度,13000,東京都,7.56,25.1
2012100000,2012年度,14000,神奈川県,9.34,24.5
2012100000,2012年度,15000,新潟県,4.75,23.5
2012100000,2012年度,16000,富山県,6.78,22.7
2012100000,2012年度,17000,石川県,4.76,23.3
2012100000,2012年度,18000,福井県,5.42,24.1
2012100000,2012年度,19000,山梨県,8.76,25.1
2012100000,2012年度,20000,長野県,9.19,21.4
2012100000,2012年度,21000,岐阜県,7.14,24
2012100000,2012年度,22000,静岡県,6.61,23.8
2012100000,2012年度,23000,愛知県,7.54,27.2
2012100000,2012年度,24000,三重県,7.72,22
2012100000,2012年度,25000,滋賀県,10.29,25.8
2012100000,2012年度,26000,京都府,7.47,26.9
2012100000,2012年度,27000,大阪府,11.51,25.4
2012100000,2012年度,28000,兵庫県,8.49,25.7
2012100000,2012年度,29000,奈良県,8.99,22.5
2012100000,2012年度,30000,和歌山県,9.53,25.8
2012100000,2012年度,31000,鳥取県,8.03,23.7
2012100000,2012年度,32000,島根県,6.93,23.4
2012100000,2012年度,33000,岡山県,11.74,22.7
2012100000,2012年度,34000,広島県,7.67,23.6
2012100000,2012年度,35000,山口県,6.54,21.3
2012100000,2012年度,36000,徳島県,7.54,21.3
2012100000,2012年度,37000,香川県,6.89,21.2
2012100000,2012年度,38000,愛媛県,7.37,23.1
2012100000,2012年度,39000,高知県,9.79,22.6
2012100000,2012年度,40000,福岡県,8.88,22.4
2012100000,2012年度,41000,佐賀県,7.17,21.6
2012100000,2012年度,42000,長崎県,4.9,22.8
2012100000,2012年度,43000,熊本県,3.48,21.4
2012100000,2012年度,44000,大分県,6.75,20.6
2012100000,2012年度,45000,宮崎県,4.95,22.6
2012100000,2012年度,46000,鹿児島県,5.71,20.8
2012100000,2012年度,47000,沖縄県,12.15,24.3
2011100000,2011年度,1000,北海道,7.69,23.3
2011100000,2011年度,2000,青森県,4.25,24.8
2011100000,2011年度,3000,岩手県,3.63,25.1
2011100000,2011年度,4000,宮城県,8.41,25.1
2011100000,2011年度,5000,秋田県,5.36,22.8
2011100000,2011年度,6000,山形県,4.11,23.4
2011100000,2011年度,7000,福島県,7.94,23.2
2011100000,2011年度,8000,茨城県,8.44,21.3
2011100000,2011年度,9000,栃木県,7.91,21.9
2011100000,2011年度,10000,群馬県,6.43,23.4
2011100000,2011年度,11000,埼玉県,6.07,23.7
2011100000,2011年度,12000,千葉県,9.85,24.7
2011100000,2011年度,13000,東京都,7.09,25.1
2011100000,2011年度,14000,神奈川県,9.8,23
2011100000,2011年度,15000,新潟県,5.14,23.9
2011100000,2011年度,16000,富山県,6.48,22.8
2011100000,2011年度,17000,石川県,4.48,24.3
2011100000,2011年度,18000,福井県,6.02,23.2
2011100000,2011年度,19000,山梨県,8.77,24.7
2011100000,2011年度,20000,長野県,9.79,22.1
2011100000,2011年度,21000,岐阜県,6.79,22.3
2011100000,2011年度,22000,静岡県,6.68,23.7
2011100000,2011年度,23000,愛知県,7.21,26.7
2011100000,2011年度,24000,三重県,7.02,22.1
2011100000,2011年度,25000,滋賀県,10.12,25.6
2011100000,2011年度,26000,京都府,7.31,26.5
2011100000,2011年度,27000,大阪府,11.57,26.9
2011100000,2011年度,28000,兵庫県,8.15,25.7
