調査年 コード,調査年,地域 コード,地域,総面積,耕地面積
2021100000,2021年度,1470,北海道 音威子府村,27563,1730
2021100000,2021年度,1471,北海道 中川町,59474,3560
2021100000,2021年度,1472,北海道 幌加内町,76704,4610
2021100000,2021年度,1481,北海道 増毛町,36971,765
2021100000,2021年度,1482,北海道 小平町,62722,2240
2021100000,2021年度,1483,北海道 苫前町,45460,3200
2021100000,2021年度,1484,北海道 羽幌町,47265,2820
2021100000,2021年度,1485,北海道 初山別村,27952,1750
2021100000,2021年度,1486,北海道 遠別町,59080,3880
2021100000,2021年度,1487,北海道 天塩町,35356,10100
2021100000,2021年度,1511,北海道 猿払村,58999,5640
2021100000,2021年度,1512,北海道 浜頓別町,40164,5910
2021100000,2021年度,1513,北海道 中頓別町,39851,3690
2021100000,2021年度,1514,北海道 枝幸町,111593,10900
2021100000,2021年度,1516,北海道 豊富町,52069,13300
2021100000,2021年度,1517,北海道 礼文町,8164,7
2021100000,2021年度,1518,北海道 利尻町,7650,18
2021100000,2021年度,1519,北海道 利尻富士町,10562,14
2021100000,2021年度,1520,北海道 幌延町,57410,8190
2021100000,2021年度,1543,北海道 美幌町,43841,10700
2021100000,2021年度,1544,北海道 津別町,71680,5700
2021100000,2021年度,1545,北海道 斜里町,73713,10700
2021100000,2021年度,1546,北海道 清里町,40276,9030
2021100000,2021年度,1547,北海道 小清水町,28689,10400
2021100000,2021年度,1549,北海道 訓子府町,19095,7050
2021100000,2021年度,1550,北海道 置戸町,52727,4800
2021100000,2021年度,1552,北海道 佐呂間町,40494,7480
2021100000,2021年度,1555,北海道 遠軽町,133245,7700
2021100000,2021年度,1559,北海道 湧別町,50579,10700
2021100000,2021年度,1560,北海道 滝上町,76689,3640
2021100000,2021年度,1561,北海道 興部町,36255,6320
2021100000,2021年度,1562,北海道 西興部村,30808,1630
2021100000,2021年度,1563,北海道 雄武町,63689,10000
2021100000,2021年度,1564,北海道 大空町,34366,13600
2021100000,2021年度,1571,北海道 豊浦町,23357,1910
2021100000,2021年度,1575,北海道 壮瞥町,20501,1480
2021100000,2021年度,1578,北海道 白老町,42564,1230
2021100000,2021年度,1581,北海道 厚真町,40461,5620
2021100000,2021年度,1584,北海道 洞爺湖町,18087,2550
2021100000,2021年度,1585,北海道 安平町,23716,7440
2021100000,2021年度,1586,北海道 むかわ町,71136,6660
2021100000,2021年度,1601,北海道 日高町,99207,9440
2021100000,2021年度,1602,北海道 平取町,74309,4660
2021100000,2021年度,1604,北海道 新冠町,58581,7170
2021100000,2021年度,1607,北海道 浦河町,69426,5450
2021100000,2021年度,1608,北海道 様似町,36430,1030
2021100000,2021年度,1609,北海道 えりも町,28400,1840
2021100000,2021年度,1610,北海道 新ひだか町,114755,9170
2021100000,2021年度,1631,北海道 音更町,46602,24300
2021100000,2021年度,1632,北海道 士幌町,25919,15900
