調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,1398,北海道 喜茂別町,***,***,***,1867214,64.9,37.338,64.75
2020100000,2020年度,1399,北海道 京極町,***,***,***,2598768,78.7,37.878,55.11
2020100000,2020年度,1400,北海道 倶知安町,***,***,***,5169176,219.6,24.661,77.99
2020100000,2020年度,1401,北海道 共和町,***,***,***,3560678,66.6,31.635,54.1
2020100000,2020年度,1402,北海道 岩内町,***,***,***,4239692,858.4,37.466,65.19
2020100000,2020年度,1403,北海道 泊村,***,***,***,2306018,287.4,39.834,75.95
2020100000,2020年度,1404,北海道 神恵内村,***,***,***,914765,89.4,51.494,73.91
2020100000,2020年度,1405,北海道 積丹町,***,***,***,1780348,36.1,46.914,56.85
2020100000,2020年度,1406,北海道 古平町,***,***,***,2133396,102.3,42.04,58.03
2020100000,2020年度,1407,北海道 仁木町,***,***,***,2221519,78.2,40.314,43.1
2020100000,2020年度,1408,北海道 余市町,***,***,***,5768031,410.2,40.333,67.35
2020100000,2020年度,1409,北海道 赤井川村,***,***,***,1382761,67.5,30.987,55.32
2020100000,2020年度,1423,北海道 南幌町,***,***,***,3243515,91.6,34.909,62.45
2020100000,2020年度,1424,北海道 奈井江町,***,***,***,3082006,130.2,42.754,54.14
2020100000,2020年度,1425,北海道 上砂川町,***,***,***,1911453,522.2,51.32,70.06
2020100000,2020年度,1427,北海道 由仁町,***,***,***,3129463,56.9,42.389,47.09
2020100000,2020年度,1428,北海道 長沼町,***,***,***,4703359,68.6,38.575,53.55
2020100000,2020年度,1429,北海道 栗山町,***,***,***,4847319,120.1,41.128,57.24
2020100000,2020年度,1430,北海道 月形町,***,***,***,2439195,60.6,37.28,57.88
2020100000,2020年度,1431,北海道 浦臼町,***,***,***,1692555,32.9,44.861,40.55
2020100000,2020年度,1432,北海道 新十津川町,***,***,***,4003816,58,41.117,57.63
2020100000,2020年度,1433,北海道 妹背牛町,***,***,***,1953573,55.4,47.122,46.25
2020100000,2020年度,1434,北海道 秩父別町,***,***,***,1849417,52.6,42.293,53.64
2020100000,2020年度,1436,北海道 雨竜町,***,***,***,2032647,33.9,42.235,51.59
2020100000,2020年度,1437,北海道 北竜町,***,***,***,1677734,30.5,44.954,44.69
