調査年 コード,調査年,地域 コード,地域,C3107_耕地面積【ｈａ】
2021100000,2021年度,1514,北海道 枝幸町,10900
2021100000,2021年度,1516,北海道 豊富町,13300
2021100000,2021年度,1517,北海道 礼文町,7
2021100000,2021年度,1518,北海道 利尻町,18
2021100000,2021年度,1519,北海道 利尻富士町,14
2021100000,2021年度,1520,北海道 幌延町,8190
2021100000,2021年度,1543,北海道 美幌町,10700
2021100000,2021年度,1544,北海道 津別町,5700
2021100000,2021年度,1545,北海道 斜里町,10700
2021100000,2021年度,1546,北海道 清里町,9030
2021100000,2021年度,1547,北海道 小清水町,10400
2021100000,2021年度,1549,北海道 訓子府町,7050
2021100000,2021年度,1550,北海道 置戸町,4800
2021100000,2021年度,1552,北海道 佐呂間町,7480
2021100000,2021年度,1555,北海道 遠軽町,7700
2021100000,2021年度,1559,北海道 湧別町,10700
2021100000,2021年度,1560,北海道 滝上町,3640
2021100000,2021年度,1561,北海道 興部町,6320
2021100000,2021年度,1562,北海道 西興部村,1630
2021100000,2021年度,1563,北海道 雄武町,10000
2021100000,2021年度,1564,北海道 大空町,13600
2021100000,2021年度,1571,北海道 豊浦町,1910
2021100000,2021年度,1575,北海道 壮瞥町,1480
2021100000,2021年度,1578,北海道 白老町,1230
2021100000,2021年度,1581,北海道 厚真町,5620
2021100000,2021年度,1584,北海道 洞爺湖町,2550
2021100000,2021年度,1585,北海道 安平町,7440
2021100000,2021年度,1586,北海道 むかわ町,6660
2021100000,2021年度,1601,北海道 日高町,9440
2021100000,2021年度,1602,北海道 平取町,4660
2021100000,2021年度,1604,北海道 新冠町,7170
2021100000,2021年度,1607,北海道 浦河町,5450
2021100000,2021年度,1608,北海道 様似町,1030
2021100000,2021年度,1609,北海道 えりも町,1840
2021100000,2021年度,1610,北海道 新ひだか町,9170
2021100000,2021年度,1631,北海道 音更町,24300
2021100000,2021年度,1632,北海道 士幌町,15900
2021100000,2021年度,1633,北海道 上士幌町,11200
2021100000,2021年度,1634,北海道 鹿追町,12200
2021100000,2021年度,1635,北海道 新得町,6520
2021100000,2021年度,1636,北海道 清水町,14900
2021100000,2021年度,1637,北海道 芽室町,21400
2021100000,2021年度,1638,北海道 中札内村,7110
2021100000,2021年度,1639,北海道 更別村,11500
2021100000,2021年度,1641,北海道 大樹町,14200
2021100000,2021年度,1642,北海道 広尾町,6190
2021100000,2021年度,1643,北海道 幕別町,22500
2021100000,2021年度,1644,北海道 池田町,9510
2021100000,2021年度,1645,北海道 豊頃町,11500
2021100000,2021年度,1646,北海道 本別町,12000
2021100000,2021年度,1647,北海道 足寄町,13400
2021100000,2021年度,1648,北海道 陸別町,6060
2021100000,2021年度,1649,北海道 浦幌町,11300
2021100000,2021年度,1661,北海道 釧路町,948
2021100000,2021年度,1662,北海道 厚岸町,9000
2021100000,2021年度,1663,北海道 浜中町,14700
2021100000,2021年度,1664,北海道 標茶町,28900
2021100000,2021年度,1665,北海道 弟子屈町,10200
2021100000,2021年度,1667,北海道 鶴居村,9470
2021100000,2021年度,1668,北海道 白糠町,4790
2021100000,2021年度,1691,北海道 別海町,63300
2021100000,2021年度,1692,北海道 中標津町,24500
2021100000,2021年度,1693,北海道 標津町,12000
2021100000,2021年度,1694,北海道 羅臼町,740
2021100000,2021年度,2201,青森県 青森市,8390
2021100000,2021年度,2202,青森県 弘前市,13900
2021100000,2021年度,2203,青森県 八戸市,4800
2021100000,2021年度,2204,青森県 黒石市,3510
2021100000,2021年度,2205,青森県 五所川原市,9270
2021100000,2021年度,2206,青森県 十和田市,12300
2021100000,2021年度,2207,青森県 三沢市,3780
2021100000,2021年度,2208,青森県 むつ市,3130
2021100000,2021年度,2209,青森県 つがる市,14300
2021100000,2021年度,2210,青森県 平川市,5140
2021100000,2021年度,2301,青森県 平内町,1510
2021100000,2021年度,2303,青森県 今別町,564
