ID,PREFNAME,CITY,PREFEC,HRDIST,W1Q1,W1Q2,W1Q3,W1Q4,W1Q5_1,W1Q5_2,W1Q5_3,W1Q6,W1Q7,W1Q8,W1Q9,W1Q10,W1Q11,W1Q12,W1Q13,W1Q14_1,W1Q14_2_1,W1Q14_2_2,W1Q14_2_3,W1Q15_1,W1Q15_2,W1Q15_3,W1Q15_4,W1Q15_5,W1Q15_6,W1Q15_7,W1Q15_8,W1Q15_9,W1Q15_10,W1Q15_11,W1Q16_1,W1Q16_2,W1Q16_3,W1Q16_4,W1Q16_5,W1Q16_6,W1Q16_7,W1Q16_8,W1Q16_9,W1Q16_10,W1Q16_11,W1Q16_12,W1Q16_13,W1Q16_14,W1Q16_15,W1Q16_16,W1Q16_17,W1Q17_1,W1Q17_2,W1Q17_3,W1Q17_4,W1Q17_5,W1Q17_6,W1Q17_7,W1Q17_8,W1Q17_9,W1Q17_10,W1Q18_1,W1Q18_2,W1Q19_1,W1Q19_2,W1Q20_1,W1Q20_2,W1Q20_3,W1Q20_4,W1Q20_5,W1Q20_6,W1Q20_7,W1F1,W1F2,W1F3,W1F4,W1Q2FA,W1Q4FA,W1Q5FA,W1Q6FA,W1Q14_2FA,W1Q18FA,W1F3FA,W1F4FA,RESPONSE,W2Q1,W2Q2,W2Q3,W2Q4,W2Q5,W2Q6,W2Q7_1,W2Q7_2,W2Q7_3,W2Q8,W2Q9_1,W2Q9_2,W2Q9_3,W2Q9_4,W2Q9_5,W2Q9_6,W2Q9_7,W2Q9_8,W2Q9_9,W2Q9_10,W2Q9_11,W2Q10,W2Q11,W2Q12,W2Q13,W2Q14,W2Q15,W2Q16,W2Q17_1,W2Q17_2,W2Q17_3,W2Q17_4,W2Q17_5,W2Q17_6,W2Q17_7,W2Q17_8,W2Q18_1,W2Q18_2,W2Q18_3,W2Q18_4,W2Q18_5,W2Q18_6,W2Q18_7,W2Q18_8,W2Q19_1,W2Q19_2,W2Q19_3,W2Q19_4,W2Q19_5,W2Q19_6,W2Q19_7,W2Q19_8,W2Q19_9,W2Q19_10,W2Q19_11,W2Q19_12,W2Q20_1,W2Q20_2,W2Q20_3,W2Q20_4,W2Q20_5,W2Q20_6,W2Q21,W2Q22_1,W2Q22_2_1,W2Q22_2_2,W2Q22_2_3,W2Q22_2_4,W2Q22_2_5,W2Q22_2_6,W2Q22_2_7,W2Q22_2_8,W2Q22_2_9,W2Q22_2_10,W2Q22_2_11,W2Q22_2_12,W2Q22_2_13,W2Q22_2_14,W2Q22_2_15,W2Q22_3_1,W2Q22_3_2,W2Q22_3_3,W2Q22_3_4,W2Q22_3_5,W2Q22_3_6,W2Q22_3_7,W2Q22_3_8,W2Q22_3_9,W2Q22_3_10,W2Q22_3_11,W2Q22_3_12,W2Q22_3_13,W2Q22_3_14,W2Q22_3_15,W2Q22_3_16,W2Q23_1,W2Q23_2,W2Q23_3,W2Q24_1,W2Q24_2,W2Q24_3,W2Q24_4,W2Q24_5,W2Q24_6,W2Q25_1,W2Q25_2,W2Q25_3,W2Q25_4,W2Q25_5,W2Q25_6,W2Q25_7,W2Q25_8,W2Q26_1,W2Q26_2,W2Q26_3,W2Q26_4,W2Q26_5,W2Q26_6,W2Q26_7,W2Q26_8,W2Q26_9,W2Q26_10,W2Q2FA,W2Q4FA,W2Q7FA,W2Q16FA,W2Q17FA,W2Q22_2FA,W2Q22_3FA,W2Q23FA,W2Q26FA
19,ñkäCìπ,éDñyéså˙ï ãÊ,1,5,1,66,66,66,66,66,66,2,4,2,4,3,3,3,1,3,66,66,66,75,30,50,70,50,40,50,50,80,50,50,2,2,2,3,3,2,1,2,3,2,3,3,2,3,2,3,3,4,3,2,4,3,4,4,4,3,4,1,66,1,5,5,6,1,2,3,4,7,1,2,3,1,,,,,,,,,1,2,1,1,1,2,3,6,7,13,4,1,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,2,1,0,1,0,1,0,1,0,0,75,25,50,25,0,0,75,25,2,1,2,3,1,1,1,2,2,1,3,1,1,1,1,1,3,3,7,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
21,ñkäCìπ,éDñyésêºãÊ,1,1,1,66,66,66,66,66,66,66,3,4,4,4,4,4,3,5,66,66,66,0,50,50,0,50,50,50,50,10,50,50,3,5,2,3,4,3,2,2,4,2,2,2,3,2,3,1,1,3,3,2,2,5,3,5,4,4,4,11,1,2,66,1,2,3,5,6,4,7,2,4,2,1,,,,,,,,,1,1,66,66,66,66,66,66,66,66,3,1,0,0,0,0,0,0,0,0,0,0,4,3,3,2,5,4,8,0,0,1,0,0,0,0,0,20,50,0,50,50,50,20,50,2,2,2,2,3,1,4,3,1,2,4,5,99,3,5,2,3,5,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
22,ñkäCìπ,éDñyésêºãÊ,1,1,1,66,66,66,66,66,66,66,4,5,5,5,4,5,4,5,66,66,66,25,25,25,25,50,75,50,50,0,50,25,4,5,4,5,4,2,3,3,5,5,5,2,3,2,5,2,2,4,3,2,2,5,1,4,4,4,3,11,2,2,66,1,2,4,6,5,3,7,2,3,3,5,,,,,,,,,1,2,2,5,2,4,4,12,15,7,4,1,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,4,8,1,0,0,0,0,0,0,0,0,50,0,50,0,50,0,25,5,4,3,3,3,1,1,3,1,3,3,3,2,3,3,3,3,3,5,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,9,10,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
25,ñkäCìπ,éDñyésêºãÊ,1,1,2,2,4,2,1,2,6,2,2,3,4,4,4,4,4,5,66,66,66,50,70,50,40,50,30,50,50,50,50,60,1,3,1,3,4,3,3,4,4,5,3,1,2,1,3,2,3,4,4,1,3,4,3,5,4,2,3,2,66,1,5,6,4,3,2,7,1,5,2,4,2,5,,,,,,,,,1,2,2,1,2,3,5,10,7,6,5,1,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,3,2,0,0,1,1,0,0,0,0,50,60,20,20,50,50,50,50,1,2,3,4,4,1,1,3,3,4,3,3,4,4,5,3,3,4,4,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
26,ñkäCìπ,éDñyésêºãÊ,1,1,1,66,66,66,66,66,66,2,3,5,5,5,4,4,4,5,66,66,66,30,60,50,0,30,60,30,60,30,30,50,5,5,2,5,3,3,3,3,2,5,5,2,2,3,5,3,3,3,3,3,3,2,1,3,4,3,4,2,66,1,5,1,2,3,4,7,5,6,1,6,5,8,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,ñkäCìπ,éDñyésêºãÊ,1,1,2,2,1,2,2,12,1,2,3,5,5,5,5,5,3,5,66,66,66,30,60,0,10,30,30,30,50,20,50,0,5,5,1,5,2,2,2,1,5,5,3,5,4,4,5,1,3,1,1,1,2,1,1,1,5,1,5,2,66,1,3,5,3,6,2,4,1,7,1,3,2,2,,,,,,,,,1,2,2,1,2,1,5,12,1,2,3,0,0,0,0,0,0,1,1,0,0,0,5,3,5,5,5,4,6,0,0,1,0,1,0,0,0,30,50,0,40,0,60,0,50,5,3,2,3,4,3,5,5,1,5,5,3,5,1,1,5,5,1,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,ñ}êl,
28,ñkäCìπ,éDñyésêºãÊ,1,1,2,4,3,2,6,99,99,4,3,3,3,2,5,5,4,2,5,2,6,52,59,39,52,40,30,10,10,30,10,40,3,2,3,5,4,3,4,5,5,5,3,1,99,99,5,3,5,3,5,1,3,1,3,1,3,3,5,4,66,1,3,3,2,1,7,6,4,5,2,6,2,3,,,,,,,,,1,2,3,1,2,4,3,6,2,1,3,0,0,0,0,0,0,1,0,0,0,0,4,3,3,3,5,3,3,0,0,0,1,0,0,0,0,50,40,50,30,40,20,45,40,3,4,3,2,3,4,3,99,99,4,2,3,3,3,2,3,3,2,5,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,3,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
29,ñkäCìπ,éDñyésñkãÊ,1,2,2,3,5,3,10,12,7,8,3,4,4,5,4,4,4,4,66,66,66,35,50,65,42,50,50,50,50,35,50,65,3,4,4,5,3,2,2,5,3,4,1,1,1,1,2,2,2,4,3,2,3,5,4,4,3,3,4,3,66,2,66,4,3,1,2,6,5,7,2,2,1,6,,,,,,,,,1,2,4,1,4,3,4,10,9,11,3,1,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,4,4,1,0,0,0,0,0,0,0,25,50,25,75,50,50,25,50,2,2,2,1,5,2,2,2,3,3,3,3,3,2,3,3,4,3,5,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
33,ñkäCìπ,éDñyésñkãÊ,1,2,1,66,66,66,66,66,66,99,4,3,4,3,4,4,4,3,66,66,66,40,20,20,0,0,20,0,0,45,0,50,4,2,2,4,2,2,3,2,4,4,2,1,1,1,2,1,2,1,2,1,4,4,4,5,4,2,4,1,66,1,5,4,1,2,6,7,3,5,2,3,1,9,,,,,,,,ïaãCÇÃÇΩÇﬂê∂ï€éÛããíÜÇ≈Ç∑,1,1,66,66,66,66,66,66,66,66,3,0,0,1,0,0,0,0,1,1,0,0,4,3,4,3,4,3,8,0,0,1,0,0,1,0,0,40,40,10,20,50,0,45,0,4,1,3,3,3,2,2,3,2,2,4,3,2,3,3,4,4,2,4,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,12,99,99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
34,ñkäCìπ,éDñyésñkãÊ,1,2,2,1,1,1,1,12,2,1,2,1,1,1,2,3,2,1,1,3,2,80,10,40,0,10,0,20,0,100,0,80,1,1,2,1,2,1,3,4,2,5,2,4,4,1,2,3,2,1,2,1,2,3,4,5,2,4,4,1,66,2,66,3,4,5,6,7,1,2,2,3,3,5,,,,,,,,,1,2,1,1,1,2,2,1,12,8,3,0,1,0,0,0,0,1,1,0,0,0,3,3,1,1,2,2,1,0,1,0,1,0,1,0,0,80,20,0,30,30,0,100,40,1,1,1,1,4,4,1,1,2,4,2,5,2,1,5,1,5,3,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,
35,ñkäCìπ,éDñyésñkãÊ,1,2,2,6,1,3,7,3,6,6,4,2,5,5,5,5,4,5,66,66,66,10,10,50,50,50,50,80,10,10,90,50,2,4,3,3,2,3,3,3,4,5,4,5,3,3,3,3,3,3,4,2,2,4,2,2,4,4,3,2,66,1,5,5,2,1,3,6,4,7,1,3,2,5,,,,,,,,,1,2,4,1,4,5,5,16,7,12,2,0,0,1,0,0,0,0,0,0,0,0,5,4,5,5,5,5,4,1,1,1,0,0,1,0,0,25,10,10,80,50,0,0,10,3,2,2,3,2,1,1,3,5,2,4,3,5,2,4,2,1,2,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,ê≠çÙÇ≈ÇÕÇ»Ç≠ê≠ì}Ç≈åàÇﬂÇΩ,,,,,,
37,ñkäCìπ,éDñyésñkãÊ,1,2,2,4,4,1,7,16,15,99,3,3,4,3,4,3,4,3,66,66,66,70,20,10,60,10,10,10,10,60,10,20,2,4,2,2,3,2,1,5,4,5,1,3,3,2,1,2,1,4,5,1,4,4,5,5,3,3,4,1,66,1,2,3,2,1,7,5,4,6,2,2,2,5,,,ïüéÉÅEâÓåÏ,,,,,,1,1,66,66,66,66,66,66,66,66,4,1,0,0,0,0,0,0,0,0,0,0,4,4,2,5,3,3,1,0,0,0,0,0,0,0,1,65,20,65,50,50,50,50,20,2,4,2,2,5,1,1,3,1,3,2,3,3,1,5,4,3,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,9,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,
