調査年 コード,調査年,地域 コード,地域,#E09211_小学校長期欠席児童比率（年度間30日以上）（児童千人当たり）【‐】,#L02418_教育費割合（二人以上の世帯）【％】
2010100000,2010年度,7000,福島県,5.61,2.5
2010100000,2010年度,8000,茨城県,8.32,4.5
2010100000,2010年度,9000,栃木県,7.49,3.4
2010100000,2010年度,10000,群馬県,5.67,3.5
2010100000,2010年度,11000,埼玉県,5.79,4.7
2010100000,2010年度,12000,千葉県,9.44,5.4
2010100000,2010年度,13000,東京都,6.66,6.2
2010100000,2010年度,14000,神奈川県,9.3,4.4
2010100000,2010年度,15000,新潟県,5.38,5.1
2010100000,2010年度,16000,富山県,6.15,3.4
2010100000,2010年度,17000,石川県,4.72,3.6
2010100000,2010年度,18000,福井県,5.82,3.4
2010100000,2010年度,19000,山梨県,8.47,5
2010100000,2010年度,20000,長野県,10.17,3.3
2010100000,2010年度,21000,岐阜県,6.55,3.9
2010100000,2010年度,22000,静岡県,6.19,3.1
2010100000,2010年度,23000,愛知県,6.78,6.3
2010100000,2010年度,24000,三重県,6.92,3.6
2010100000,2010年度,25000,滋賀県,10.78,3.7
2010100000,2010年度,26000,京都府,7.27,5.6
2010100000,2010年度,27000,大阪府,11.15,4.6
2010100000,2010年度,28000,兵庫県,7.67,6
2010100000,2010年度,29000,奈良県,7.98,6.2
2010100000,2010年度,30000,和歌山県,8.47,2.9
2010100000,2010年度,31000,鳥取県,8.07,3.2
2010100000,2010年度,32000,島根県,7.55,2.9
2010100000,2010年度,33000,岡山県,11.4,3.4
2010100000,2010年度,34000,広島県,7.64,3.6
2010100000,2010年度,35000,山口県,5.67,4.7
2010100000,2010年度,36000,徳島県,7.34,3.8
2010100000,2010年度,37000,香川県,6.14,3.5
2010100000,2010年度,38000,愛媛県,6.79,5
2010100000,2010年度,39000,高知県,9.68,3.8
2010100000,2010年度,40000,福岡県,8.49,4.4
2010100000,2010年度,41000,佐賀県,7,3.9
2010100000,2010年度,42000,長崎県,5.84,3.7
2010100000,2010年度,43000,熊本県,3.28,5.6
2010100000,2010年度,44000,大分県,6.85,3.3
2010100000,2010年度,45000,宮崎県,4.94,3.1
2010100000,2010年度,46000,鹿児島県,4.81,4.6
2010100000,2010年度,47000,沖縄県,10.4,4.4
2009100000,2009年度,1000,北海道,7.76,4.1
2009100000,2009年度,2000,青森県,3.78,4.3
2009100000,2009年度,3000,岩手県,3.51,3.1
2009100000,2009年度,4000,宮城県,6.28,4.1
2009100000,2009年度,5000,秋田県,4.71,4.3
2009100000,2009年度,6000,山形県,3.77,5
2009100000,2009年度,7000,福島県,6.86,3.7
2009100000,2009年度,8000,茨城県,7.99,4.1
2009100000,2009年度,9000,栃木県,8.12,3.5
2009100000,2009年度,10000,群馬県,6.09,2.7
2009100000,2009年度,11000,埼玉県,5.57,8.8
2009100000,2009年度,12000,千葉県,8.89,5
2009100000,2009年度,13000,東京都,6.91,5.7
2009100000,2009年度,14000,神奈川県,9.11,5.5
2009100000,2009年度,15000,新潟県,4.93,4
2009100000,2009年度,16000,富山県,5.46,3.3
2009100000,2009年度,17000,石川県,4.69,5.9
2009100000,2009年度,18000,福井県,6.28,4.2
2009100000,2009年度,19000,山梨県,7.85,3.8
2009100000,2009年度,20000,長野県,9.24,3.4
2009100000,2009年度,21000,岐阜県,6.37,6.3
2009100000,2009年度,22000,静岡県,6.13,3.3
2009100000,2009年度,23000,愛知県,6.75,5.5
2009100000,2009年度,24000,三重県,6.87,4
2009100000,2009年度,25000,滋賀県,10.46,4.1
2009100000,2009年度,26000,京都府,7.62,5.5
2009100000,2009年度,27000,大阪府,10.79,4.6
2009100000,2009年度,28000,兵庫県,7.63,4.4
2009100000,2009年度,29000,奈良県,8.9,4.7
2009100000,2009年度,30000,和歌山県,8.3,3
2009100000,2009年度,31000,鳥取県,8,3.4
2009100000,2009年度,32000,島根県,7.38,2.8
2009100000,2009年度,33000,岡山県,10.98,4.4
2009100000,2009年度,34000,広島県,7.3,4.9
2009100000,2009年度,35000,山口県,6.08,3.5
2009100000,2009年度,36000,徳島県,7.78,4.1
2009100000,2009年度,37000,香川県,5.97,3.6
2009100000,2009年度,38000,愛媛県,6.74,3.9
2009100000,2009年度,39000,高知県,9.39,4.5
2009100000,2009年度,40000,福岡県,8.79,4.4
2009100000,2009年度,41000,佐賀県,6.38,3.7
2009100000,2009年度,42000,長崎県,5.54,3
2009100000,2009年度,43000,熊本県,3.21,5.1
2009100000,2009年度,44000,大分県,7.02,3.4
2009100000,2009年度,45000,宮崎県,4.51,3.7
2009100000,2009年度,46000,鹿児島県,4.53,5.9
2009100000,2009年度,47000,沖縄県,10.19,4.6
2008100000,2008年度,1000,北海道,7.87,3.7
2008100000,2008年度,2000,青森県,3.77,3.7
2008100000,2008年度,3000,岩手県,3.74,2.8
2008100000,2008年度,4000,宮城県,7.06,5.3
2008100000,2008年度,5000,秋田県,5.27,4.2
2008100000,2008年度,6000,山形県,3.78,4.2
2008100000,2008年度,7000,福島県,6.94,4
2008100000,2008年度,8000,茨城県,8.31,4.1
2008100000,2008年度,9000,栃木県,9.1,2.8
2008100000,2008年度,10000,群馬県,6.07,1.9
2008100000,2008年度,11000,埼玉県,5.79,5.9
2008100000,2008年度,12000,千葉県,9.69,4.8
2008100000,2008年度,13000,東京都,7.13,6.1
2008100000,2008年度,14000,神奈川県,9.2,4.3
2008100000,2008年度,15000,新潟県,5.54,4.2
2008100000,2008年度,16000,富山県,6.2,2.9
2008100000,2008年度,17000,石川県,4.54,3.2
2008100000,2008年度,18000,福井県,6.19,3.5
2008100000,2008年度,19000,山梨県,6.95,4.4
2008100000,2008年度,20000,長野県,9.65,3.6
2008100000,2008年度,21000,岐阜県,6.78,6.3
2008100000,2008年度,22000,静岡県,6.85,4
2008100000,2008年度,23000,愛知県,6.81,5.4
2008100000,2008年度,24000,三重県,7.17,4.1
2008100000,2008年度,25000,滋賀県,11.61,4.9
2008100000,2008年度,26000,京都府,8.4,5.1
2008100000,2008年度,27000,大阪府,11.6,4.6
2008100000,2008年度,28000,兵庫県,8.18,3.8
2008100000,2008年度,29000,奈良県,9.66,5.1
2008100000,2008年度,30000,和歌山県,9.3,3.7
2008100000,2008年度,31000,鳥取県,9.42,3.5
2008100000,2008年度,32000,島根県,7.47,2.5
2008100000,2008年度,33000,岡山県,11.64,3.7
2008100000,2008年度,34000,広島県,7.62,4.4
2008100000,2008年度,35000,山口県,6.2,4.1
2008100000,2008年度,36000,徳島県,8.7,3.6
2008100000,2008年度,37000,香川県,7.2,3.7
2008100000,2008年度,38000,愛媛県,6.44,3.3
2008100000,2008年度,39000,高知県,10.11,3.6
2008100000,2008年度,40000,福岡県,8.63,5.3
2008100000,2008年度,41000,佐賀県,7.52,5.2
2008100000,2008年度,42000,長崎県,5.65,3.3
2008100000,2008年度,43000,熊本県,3.72,4.7
2008100000,2008年度,44000,大分県,7.86,4.4
2008100000,2008年度,45000,宮崎県,5.05,3.2
2008100000,2008年度,46000,鹿児島県,5.73,5.5
2008100000,2008年度,47000,沖縄県,10.68,4.2
2007100000,2007年度,1000,北海道,9.05,3.7
2007100000,2007年度,2000,青森県,4.45,4.3
2007100000,2007年度,3000,岩手県,4.32,3.6
2007100000,2007年度,4000,宮城県,7.81,4.1
2007100000,2007年度,5000,秋田県,5.82,3.7
2007100000,2007年度,6000,山形県,4.3,5.1
2007100000,2007年度,7000,福島県,7.33,3.6
2007100000,2007年度,8000,茨城県,8.95,3.8
2007100000,2007年度,9000,栃木県,9.74,3.3
2007100000,2007年度,10000,群馬県,7.19,3.1
2007100000,2007年度,11000,埼玉県,6.27,7.7
2007100000,2007年度,12000,千葉県,9.94,6.1
2007100000,2007年度,13000,東京都,7.36,6.3
2007100000,2007年度,14000,神奈川県,10.06,5.9
2007100000,2007年度,15000,新潟県,5.67,4.1
2007100000,2007年度,16000,富山県,6.37,4
2007100000,2007年度,17000,石川県,5.28,2.9
2007100000,2007年度,18000,福井県,7.12,2.5
2007100000,2007年度,19000,山梨県,8.17,4.6
2007100000,2007年度,20000,長野県,9.62,4.7
2007100000,2007年度,21000,岐阜県,7.09,5.5
2007100000,2007年度,22000,静岡県,7.16,3.9
2007100000,2007年度,23000,愛知県,7.69,4.5
2007100000,2007年度,24000,三重県,7.35,2.9
2007100000,2007年度,25000,滋賀県,12.78,6.6
2007100000,2007年度,26000,京都府,10.36,4
2007100000,2007年度,27000,大阪府,12.22,4.8
2007100000,2007年度,28000,兵庫県,8.85,4
2007100000,2007年度,29000,奈良県,10.78,4.2
2007100000,2007年度,30000,和歌山県,10.6,3.7
2007100000,2007年度,31000,鳥取県,11.22,3
2007100000,2007年度,32000,島根県,6.91,4
2007100000,2007年度,33000,岡山県,12.55,2.6
2007100000,2007年度,34000,広島県,8.66,4.4
2007100000,2007年度,35000,山口県,6.59,3.2
2007100000,2007年度,36000,徳島県,9.33,3.6
2007100000,2007年度,37000,香川県,7.61,4.3
2007100000,2007年度,38000,愛媛県,7.48,4
2007100000,2007年度,39000,高知県,10.43,5
2007100000,2007年度,40000,福岡県,9.03,4.3
2007100000,2007年度,41000,佐賀県,7.57,4.6
2007100000,2007年度,42000,長崎県,6.62,4.6
2007100000,2007年度,43000,熊本県,3.94,4.4
2007100000,2007年度,44000,大分県,8.16,3.8
2007100000,2007年度,45000,宮崎県,5.8,3.9
2007100000,2007年度,46000,鹿児島県,7.1,4.2
2007100000,2007年度,47000,沖縄県,11.02,4.7
2006100000,2006年度,1000,北海道,8.91,3.3
2006100000,2006年度,2000,青森県,4.3,2
2006100000,2006年度,3000,岩手県,4.25,4.3
2006100000,2006年度,4000,宮城県,8.2,3.9
2006100000,2006年度,5000,秋田県,6.24,3.5
2006100000,2006年度,6000,山形県,5,4.8
2006100000,2006年度,7000,福島県,7.38,3.3
2006100000,2006年度,8000,茨城県,9.62,4.3
2006100000,2006年度,9000,栃木県,9.94,3.4
2006100000,2006年度,10000,群馬県,7.92,3.8
2006100000,2006年度,11000,埼玉県,6.63,7.7
2006100000,2006年度,12000,千葉県,9.97,5.3
2006100000,2006年度,13000,東京都,7.47,5.7
2006100000,2006年度,14000,神奈川県,10,5.8
2006100000,2006年度,15000,新潟県,5.52,3.3
2006100000,2006年度,16000,富山県,6.69,3.2
2006100000,2006年度,17000,石川県,5.29,3.2
2006100000,2006年度,18000,福井県,6.91,3.6
2006100000,2006年度,19000,山梨県,9.06,3.8
2006100000,2006年度,20000,長野県,9.74,2.3
2006100000,2006年度,21000,岐阜県,7.88,4.7
2006100000,2006年度,22000,静岡県,6.86,5.2
2006100000,2006年度,23000,愛知県,8.25,4.9
2006100000,2006年度,24000,三重県,7.55,4.9
2006100000,2006年度,25000,滋賀県,12.63,4.1
2006100000,2006年度,26000,京都府,10.55,3.8
2006100000,2006年度,27000,大阪府,11.98,5.9
2006100000,2006年度,28000,兵庫県,8.79,4.4
2006100000,2006年度,29000,奈良県,10.7,4.5
2006100000,2006年度,30000,和歌山県,10.71,4
2006100000,2006年度,31000,鳥取県,10.35,3.2
2006100000,2006年度,32000,島根県,7.35,3.3
2006100000,2006年度,33000,岡山県,11.84,3.2
2006100000,2006年度,34000,広島県,8.65,4.3
2006100000,2006年度,35000,山口県,6.64,3.7
2006100000,2006年度,36000,徳島県,8.99,2.4
2006100000,2006年度,37000,香川県,7.22,3.3
2006100000,2006年度,38000,愛媛県,7.6,4.3
2006100000,2006年度,39000,高知県,9.42,3.9
2006100000,2006年度,40000,福岡県,8.69,4.8
2006100000,2006年度,41000,佐賀県,7.97,3.4
2006100000,2006年度,42000,長崎県,7.22,3.3
2006100000,2006年度,43000,熊本県,3.94,5.6
2006100000,2006年度,44000,大分県,7.97,4.3
2006100000,2006年度,45000,宮崎県,5.58,3.4
2006100000,2006年度,46000,鹿児島県,6.67,4
2006100000,2006年度,47000,沖縄県,10.86,4
2005100000,2005年度,1000,北海道,8.18,3.6
2005100000,2005年度,2000,青森県,4.23,3.5
2005100000,2005年度,3000,岩手県,4.19,4.4
2005100000,2005年度,4000,宮城県,8.16,3.6
2005100000,2005年度,5000,秋田県,6.08,3.6
2005100000,2005年度,6000,山形県,4.51,4
2005100000,2005年度,7000,福島県,7.34,4.6
2005100000,2005年度,8000,茨城県,9.73,4.6
2005100000,2005年度,9000,栃木県,9.48,3.6
2005100000,2005年度,10000,群馬県,6.6,3
2005100000,2005年度,11000,埼玉県,6.22,6.5
2005100000,2005年度,12000,千葉県,9.74,4.4
2005100000,2005年度,13000,東京都,7.29,5.6
2005100000,2005年度,14000,神奈川県,9.51,5.8
2005100000,2005年度,15000,新潟県,5.35,3.3
2005100000,2005年度,16000,富山県,6.97,2.5
2005100000,2005年度,17000,石川県,4.98,4.6
2005100000,2005年度,18000,福井県,6.11,3.3
2005100000,2005年度,19000,山梨県,9.3,4.5
2005100000,2005年度,20000,長野県,9.87,3.2
2005100000,2005年度,21000,岐阜県,6.92,5
2005100000,2005年度,22000,静岡県,6.6,5
2005100000,2005年度,23000,愛知県,7.76,4.7
2005100000,2005年度,24000,三重県,6.99,2.4
2005100000,2005年度,25000,滋賀県,11.75,4.9
2005100000,2005年度,26000,京都府,10.35,4.9
2005100000,2005年度,27000,大阪府,12.22,4.8
2005100000,2005年度,28000,兵庫県,8.73,4.3
2005100000,2005年度,29000,奈良県,10.53,4.4
2005100000,2005年度,30000,和歌山県,10.36,3
2005100000,2005年度,31000,鳥取県,9.62,2.5
2005100000,2005年度,32000,島根県,7.16,3
2005100000,2005年度,33000,岡山県,11.73,3.2
2005100000,2005年度,34000,広島県,8.45,5.3
2005100000,2005年度,35000,山口県,6.45,4.1
2005100000,2005年度,36000,徳島県,10.1,3.7
2005100000,2005年度,37000,香川県,7.62,4
2005100000,2005年度,38000,愛媛県,7.03,4.2
2005100000,2005年度,39000,高知県,9.93,4.2
2005100000,2005年度,40000,福岡県,8.38,4.4
2005100000,2005年度,41000,佐賀県,7.79,4
2005100000,2005年度,42000,長崎県,7.05,3.3
2005100000,2005年度,43000,熊本県,4.11,5.1
2005100000,2005年度,44000,大分県,6.9,4
2005100000,2005年度,45000,宮崎県,5.25,3.6
2005100000,2005年度,46000,鹿児島県,7,5
2005100000,2005年度,47000,沖縄県,8.31,5.1
2004100000,2004年度,1000,北海道,8.55,4.3
2004100000,2004年度,2000,青森県,4.03,4.1
2004100000,2004年度,3000,岩手県,4.64,3.3
2004100000,2004年度,4000,宮城県,7.47,4.3
2004100000,2004年度,5000,秋田県,6.17,3.7
2004100000,2004年度,6000,山形県,4.35,4.4
2004100000,2004年度,7000,福島県,7.28,3.9
2004100000,2004年度,8000,茨城県,9.09,4.9
2004100000,2004年度,9000,栃木県,10.14,4.3
2004100000,2004年度,10000,群馬県,7.22,4.1
2004100000,2004年度,11000,埼玉県,6.35,5.5
2004100000,2004年度,12000,千葉県,9.61,5.6
2004100000,2004年度,13000,東京都,7.49,5.2
2004100000,2004年度,14000,神奈川県,9.59,5.8
2004100000,2004年度,15000,新潟県,5.9,4.7
2004100000,2004年度,16000,富山県,6.72,3.7
2004100000,2004年度,17000,石川県,4.97,5.2
2004100000,2004年度,18000,福井県,6.51,3.9
2004100000,2004年度,19000,山梨県,9.18,2.9
2004100000,2004年度,20000,長野県,10.4,3.6
2004100000,2004年度,21000,岐阜県,6.88,4.6
2004100000,2004年度,22000,静岡県,6.82,3.2
2004100000,2004年度,23000,愛知県,7.59,4.8
2004100000,2004年度,24000,三重県,6.75,2.8
2004100000,2004年度,25000,滋賀県,11.43,5.6
2004100000,2004年度,26000,京都府,10.23,4.7
2004100000,2004年度,27000,大阪府,12.35,4.2
2004100000,2004年度,28000,兵庫県,8.45,3.2
2004100000,2004年度,29000,奈良県,11.02,4.7
2004100000,2004年度,30000,和歌山県,10.55,2.7
2004100000,2004年度,31000,鳥取県,8.71,4.1
2004100000,2004年度,32000,島根県,8.52,3.7
2004100000,2004年度,33000,岡山県,11.98,3.2
2004100000,2004年度,34000,広島県,8.4,4.4
2004100000,2004年度,35000,山口県,7,4.4
2004100000,2004年度,36000,徳島県,8.79,3.2
2004100000,2004年度,37000,香川県,7.67,3.7
2004100000,2004年度,38000,愛媛県,7.81,4.6
2004100000,2004年度,39000,高知県,9.39,4.1
2004100000,2004年度,40000,福岡県,8.12,4.5
2004100000,2004年度,41000,佐賀県,7.65,4.3
2004100000,2004年度,42000,長崎県,6.81,4.3
2004100000,2004年度,43000,熊本県,4.72,6.2
2004100000,2004年度,44000,大分県,7.54,3.3
2004100000,2004年度,45000,宮崎県,4.78,3.8
2004100000,2004年度,46000,鹿児島県,6.76,4.8
2004100000,2004年度,47000,沖縄県,8,4.3
2003100000,2003年度,1000,北海道,8.74,4.3
2003100000,2003年度,2000,青森県,4.62,4.3
2003100000,2003年度,3000,岩手県,5.67,6.1
2003100000,2003年度,4000,宮城県,8,4
2003100000,2003年度,5000,秋田県,6.9,3.4
2003100000,2003年度,6000,山形県,4.75,4.1
2003100000,2003年度,7000,福島県,7.37,5
2003100000,2003年度,8000,茨城県,9.79,4.1
2003100000,2003年度,9000,栃木県,11.6,4.2
2003100000,2003年度,10000,群馬県,7.46,4.4
2003100000,2003年度,11000,埼玉県,6.74,5.3
2003100000,2003年度,12000,千葉県,10.41,4.4
2003100000,2003年度,13000,東京都,8.09,5.1
2003100000,2003年度,14000,神奈川県,9.64,4.7
2003100000,2003年度,15000,新潟県,5.82,4.6
2003100000,2003年度,16000,富山県,6.99,3.8
2003100000,2003年度,17000,石川県,5.34,4.9
2003100000,2003年度,18000,福井県,6.11,4.9
2003100000,2003年度,19000,山梨県,9.49,5.2
2003100000,2003年度,20000,長野県,10.65,3.1
2003100000,2003年度,21000,岐阜県,6.92,4.7
2003100000,2003年度,22000,静岡県,7.03,4.9
2003100000,2003年度,23000,愛知県,7.59,5.3
2003100000,2003年度,24000,三重県,7.42,2.9
2003100000,2003年度,25000,滋賀県,10.34,6
2003100000,2003年度,26000,京都府,10.44,5
2003100000,2003年度,27000,大阪府,12.78,6.5
2003100000,2003年度,28000,兵庫県,8.76,3.3
2003100000,2003年度,29000,奈良県,10.85,4.3
2003100000,2003年度,30000,和歌山県,10.59,4.2
2003100000,2003年度,31000,鳥取県,10.42,4.1
2003100000,2003年度,32000,島根県,8.08,2.9
2003100000,2003年度,33000,岡山県,12.51,4
2003100000,2003年度,34000,広島県,8.9,4.6
2003100000,2003年度,35000,山口県,7.49,3.8
2003100000,2003年度,36000,徳島県,8.53,3.6
2003100000,2003年度,37000,香川県,8.28,3.9
2003100000,2003年度,38000,愛媛県,8.53,4.1
2003100000,2003年度,39000,高知県,9.03,3.5
2003100000,2003年度,40000,福岡県,8.87,4
2003100000,2003年度,41000,佐賀県,8.91,3.4
2003100000,2003年度,42000,長崎県,6.96,3.7
2003100000,2003年度,43000,熊本県,5.3,5.2
2003100000,2003年度,44000,大分県,7.52,4.4
2003100000,2003年度,45000,宮崎県,5.58,3
2003100000,2003年度,46000,鹿児島県,7.5,4.8
2003100000,2003年度,47000,沖縄県,7.99,5
2002100000,2002年度,1000,北海道,9.35,5
2002100000,2002年度,2000,青森県,5.81,4.7
2002100000,2002年度,3000,岩手県,6.56,4
2002100000,2002年度,4000,宮城県,9.29,4.4
2002100000,2002年度,5000,秋田県,8.15,3.1
2002100000,2002年度,6000,山形県,5.59,3.8
2002100000,2002年度,7000,福島県,8.08,4
2002100000,2002年度,8000,茨城県,11.14,3.6
2002100000,2002年度,9000,栃木県,11.05,3.1
2002100000,2002年度,10000,群馬県,8.03,3.4
2002100000,2002年度,11000,埼玉県,7.3,5.6
2002100000,2002年度,12000,千葉県,11.39,6.2
2002100000,2002年度,13000,東京都,8.56,4.5
2002100000,2002年度,14000,神奈川県,11.77,4.9
2002100000,2002年度,15000,新潟県,6.61,4.8
2002100000,2002年度,16000,富山県,6.71,3.5
2002100000,2002年度,17000,石川県,5.63,5
2002100000,2002年度,18000,福井県,6.33,4
2002100000,2002年度,19000,山梨県,10.18,3.7
2002100000,2002年度,20000,長野県,11.69,3
2002100000,2002年度,21000,岐阜県,8.58,4.8
2002100000,2002年度,22000,静岡県,7.34,4.9
2002100000,2002年度,23000,愛知県,8.19,5.1
2002100000,2002年度,24000,三重県,8.28,4.7
2002100000,2002年度,25000,滋賀県,10.95,5.8
2002100000,2002年度,26000,京都府,11.51,4.8
2002100000,2002年度,27000,大阪府,13.48,4.7
2002100000,2002年度,28000,兵庫県,9.1,4.5
2002100000,2002年度,29000,奈良県,11.43,3.6
2002100000,2002年度,30000,和歌山県,12.14,4.2
2002100000,2002年度,31000,鳥取県,11.68,3
2002100000,2002年度,32000,島根県,9.1,2.4
2002100000,2002年度,33000,岡山県,13.68,2.9
2002100000,2002年度,34000,広島県,9.23,5.6
2002100000,2002年度,35000,山口県,8.02,3.9
2002100000,2002年度,36000,徳島県,9.09,4.7
2002100000,2002年度,37000,香川県,9.39,3.1
2002100000,2002年度,38000,愛媛県,9.63,3
2002100000,2002年度,39000,高知県,9.95,5.1
2002100000,2002年度,40000,福岡県,9.82,4.3
2002100000,2002年度,41000,佐賀県,9.25,3.9
2002100000,2002年度,42000,長崎県,8.38,4.6
2002100000,2002年度,43000,熊本県,6.03,4.5
2002100000,2002年度,44000,大分県,7.87,2.8
2002100000,2002年度,45000,宮崎県,6.28,3.7
2002100000,2002年度,46000,鹿児島県,8.06,5.2
2002100000,2002年度,47000,沖縄県,9.18,5.2
2001100000,2001年度,1000,北海道,10.67,4.7
2001100000,2001年度,2000,青森県,7.05,4.7
2001100000,2001年度,3000,岩手県,7.86,5.1
2001100000,2001年度,4000,宮城県,10.45,4.7
2001100000,2001年度,5000,秋田県,8.73,3.2
2001100000,2001年度,6000,山形県,6.87,4.9
2001100000,2001年度,7000,福島県,10.05,4
2001100000,2001年度,8000,茨城県,12.82,4.8
2001100000,2001年度,9000,栃木県,12.55,3.7
2001100000,2001年度,10000,群馬県,9.32,3.2
2001100000,2001年度,11000,埼玉県,8.43,6.1
2001100000,2001年度,12000,千葉県,12.78,5.6
2001100000,2001年度,13000,東京都,9.77,5.8
2001100000,2001年度,14000,神奈川県,12.53,4.7
2001100000,2001年度,15000,新潟県,8.08,4.6
2001100000,2001年度,16000,富山県,7.34,3.6
2001100000,2001年度,17000,石川県,6.3,4.2
2001100000,2001年度,18000,福井県,7.09,4.2
2001100000,2001年度,19000,山梨県,11.12,3.9
2001100000,2001年度,20000,長野県,13.31,3.2
2001100000,2001年度,21000,岐阜県,9.85,3.5
2001100000,2001年度,22000,静岡県,8.54,5.4
2001100000,2001年度,23000,愛知県,9.73,3.4
2001100000,2001年度,24000,三重県,9.16,4.9
2001100000,2001年度,25000,滋賀県,11.73,6.4
2001100000,2001年度,26000,京都府,11.93,3.8
2001100000,2001年度,27000,大阪府,14.54,5.3
2001100000,2001年度,28000,兵庫県,10.29,3.4
2001100000,2001年度,29000,奈良県,13.02,6.7
2001100000,2001年度,30000,和歌山県,12.97,5.3
2001100000,2001年度,31000,鳥取県,12.9,3.4
2001100000,2001年度,32000,島根県,10.27,3.2
2001100000,2001年度,33000,岡山県,14.52,4.4
2001100000,2001年度,34000,広島県,10.19,4.8
2001100000,2001年度,35000,山口県,8.94,2.8
2001100000,2001年度,36000,徳島県,10.62,5.1
2001100000,2001年度,37000,香川県,10.25,3
2001100000,2001年度,38000,愛媛県,10.53,3.9
2001100000,2001年度,39000,高知県,11.94,3.1
2001100000,2001年度,40000,福岡県,11.06,3.3
2001100000,2001年度,41000,佐賀県,11.17,3.7
2001100000,2001年度,42000,長崎県,10.6,3.5
2001100000,2001年度,43000,熊本県,7.07,4.5
2001100000,2001年度,44000,大分県,8.18,3.6
2001100000,2001年度,45000,宮崎県,7.53,4
2001100000,2001年度,46000,鹿児島県,8.61,4.7
2001100000,2001年度,47000,沖縄県,10.24,4.2
2000100000,2000年度,1000,北海道,10.27,5.1
2000100000,2000年度,2000,青森県,7.37,4.1
2000100000,2000年度,3000,岩手県,7.56,3.6
2000100000,2000年度,4000,宮城県,11.43,4.9
2000100000,2000年度,5000,秋田県,8.78,3.8
2000100000,2000年度,6000,山形県,6.92,5
2000100000,2000年度,7000,福島県,10.02,3.7
2000100000,2000年度,8000,茨城県,13.25,5.1
2000100000,2000年度,9000,栃木県,13.16,3.9
2000100000,2000年度,10000,群馬県,9.63,3.2
2000100000,2000年度,11000,埼玉県,8.75,5.7
2000100000,2000年度,12000,千葉県,12.96,4.8
2000100000,2000年度,13000,東京都,10.2,5.5
2000100000,2000年度,14000,神奈川県,12.75,5.1
2000100000,2000年度,15000,新潟県,7.68,4.4
2000100000,2000年度,16000,富山県,7.32,3.2
2000100000,2000年度,17000,石川県,5.98,4.1
2000100000,2000年度,18000,福井県,7.74,4.7
2000100000,2000年度,19000,山梨県,11.11,4.2
2000100000,2000年度,20000,長野県,13.3,3.4
2000100000,2000年度,21000,岐阜県,9.42,4.6
2000100000,2000年度,22000,静岡県,8.75,4.7
2000100000,2000年度,23000,愛知県,8.99,4.5
2000100000,2000年度,24000,三重県,8.74,4.8
2000100000,2000年度,25000,滋賀県,11.37,4.5
2000100000,2000年度,26000,京都府,11.66,5.4
2000100000,2000年度,27000,大阪府,14.51,4.6
2000100000,2000年度,28000,兵庫県,10.4,4
2000100000,2000年度,29000,奈良県,12.06,5.1
2000100000,2000年度,30000,和歌山県,14,3.6
2000100000,2000年度,31000,鳥取県,12.87,2.9
2000100000,2000年度,32000,島根県,9.65,3.2
2000100000,2000年度,33000,岡山県,15.92,4.2
2000100000,2000年度,34000,広島県,9.27,4.8
2000100000,2000年度,35000,山口県,9.04,3.5
2000100000,2000年度,36000,徳島県,11.09,4.1
2000100000,2000年度,37000,香川県,9.14,4.6
2000100000,2000年度,38000,愛媛県,10.26,5.6
2000100000,2000年度,39000,高知県,12.31,4.3
2000100000,2000年度,40000,福岡県,10.86,5.9
2000100000,2000年度,41000,佐賀県,10.82,4.1
2000100000,2000年度,42000,長崎県,10.08,3.3
2000100000,2000年度,43000,熊本県,7.08,4.1
2000100000,2000年度,44000,大分県,8.91,3.4
2000100000,2000年度,45000,宮崎県,8.11,4
2000100000,2000年度,46000,鹿児島県,8.62,4.7
2000100000,2000年度,47000,沖縄県,10.04,5.2
1999100000,1999年度,1000,北海道,10.13,***
1999100000,1999年度,2000,青森県,6.14,***
1999100000,1999年度,3000,岩手県,7.84,***
1999100000,1999年度,4000,宮城県,11.13,***
1999100000,1999年度,5000,秋田県,8.01,***
1999100000,1999年度,6000,山形県,6.94,***
1999100000,1999年度,7000,福島県,9.05,***
1999100000,1999年度,8000,茨城県,13.13,***
1999100000,1999年度,9000,栃木県,13.22,***
1999100000,1999年度,10000,群馬県,9.29,***
1999100000,1999年度,11000,埼玉県,9.22,***
1999100000,1999年度,12000,千葉県,12.13,***
1999100000,1999年度,13000,東京都,10.06,***
1999100000,1999年度,14000,神奈川県,12.29,***
1999100000,1999年度,15000,新潟県,8.06,***
1999100000,1999年度,16000,富山県,7.55,***
1999100000,1999年度,17000,石川県,5.61,***
1999100000,1999年度,18000,福井県,8.37,***
1999100000,1999年度,19000,山梨県,11.83,***
1999100000,1999年度,20000,長野県,12.22,***
1999100000,1999年度,21000,岐阜県,9.45,***
1999100000,1999年度,22000,静岡県,8.88,***
1999100000,1999年度,23000,愛知県,8.76,***
1999100000,1999年度,24000,三重県,8.11,***
1999100000,1999年度,25000,滋賀県,11.44,***
1999100000,1999年度,26000,京都府,11.99,***
1999100000,1999年度,27000,大阪府,13.58,***
1999100000,1999年度,28000,兵庫県,10.13,***
1999100000,1999年度,29000,奈良県,12.16,***
1999100000,1999年度,30000,和歌山県,13.94,***
1999100000,1999年度,31000,鳥取県,12.5,***
1999100000,1999年度,32000,島根県,10.47,***
1999100000,1999年度,33000,岡山県,16.3,***
